index,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact
57,1.0,0.679502682535087,0.8495192314207822,0.41147409699744875,0.313422926997826,0.8729001226534022,0.48138799876850874,0.47208909911951785,0.9793501831931201,1.0
58,1.0,1.0,0.8919510413839108,1.0,0.684145441434287,1.0,0.5526916450250634,0.3606915390417604,0.5405483609645859,0.832956078372027
59,1.0,0.8632651255728804,0.6536968504661591,0.6787243595244818,0.3760885678921088,0.9704220060158483,0.3067196567253392,0.0,0.6101223267001988,1.0
60,1.0,1.0,0.9345942247544491,1.0,0.6834610260709205,1.0,0.8286193797085484,0.3593900698424035,0.9277795800009317,0.9029480218866605
61,1.0,1.0,0.7985551411861036,0.9997473413045063,0.41405358787965185,1.0,0.528089976743528,0.7622120843460167,0.7197899275032075,0.9392755844468659
62,0.9726417077921309,1.0,0.955661602485959,1.0,0.7625937597873731,1.0,0.46007960597629755,0.3713373335458364,0.36902049812479254,0.958222030257734
63,1.0,0.8485064260829445,0.914146808564244,1.0,0.6956132033379068,1.0,0.6518959392547766,0.688312004943456,0.6424102777803643,0.8238646250205269
64,1.0,0.46310447880030414,1.0,1.0,0.7674731703514505,1.0,0.22573954539887897,0.002344301648641435,0.7516413459560412,1.0
65,1.0,1.0,0.9949955194036555,0.9386785044304947,0.6514950954572031,1.0,0.5163437813350621,0.0,0.9161607140224327,1.0
66,0.894358256006252,0.7310285177993054,0.6055896189145334,1.0,0.16025693570045396,1.0,0.6512447478279209,0.5956095200134466,0.5147887816687049,0.973196525748541
67,0.7148007844334137,0.5929745410407369,0.9410126180816172,0.5278009150514956,0.4790283289043964,0.8734559083720804,0.17910287420364582,0.060912021926007365,0.8594536463542388,0.8518167295703548
68,0.8989978020776261,1.0,0.9123929911882601,0.9929950107426938,0.6427183344976805,1.0,0.586852604435317,0.6602242652459651,0.7633328021252227,0.8226418727288334
69,0.9816997761357508,1.0,0.9725143525950911,0.9981804805013953,0.5979091794855298,1.0,0.6254951884189538,0.1305993112375719,0.6519802361141552,0.9962090556815276
70,1.0,1.0,1.0,1.0,0.7093376717615866,1.0,0.6265184644170142,0.0,0.5742621845574238,0.9805250252915625
71,1.0,0.4616654549918109,0.9497550827473727,0.806363922598924,0.40680496791890075,0.9976459841298577,0.6896803345659375,1.0,0.8848854071931846,1.0
72,1.0,0.7451511736817813,0.8702278548640928,1.0,0.43364670841482894,1.0,0.8034739984637905,1.0,0.8414366255059781,0.7109218203994097
73,1.0,1.0,0.946205839536322,0.9999235930612052,0.684622185592066,1.0,0.7536115043950002,0.6465501036917947,0.6614491485999296,1.0
74,1.0,1.0,0.9920944176182882,1.0,0.6950382898357818,1.0,0.7870613109757191,0.0,0.5875775141732049,0.9637661099020128
75,0.8724359546301031,0.39188141251217634,0.7076654297039846,0.5667083343871397,0.14915321368447176,0.7464333211404608,0.24939258949104365,0.0,0.8142042407988769,1.0
76,1.0,1.0,1.0,1.0,0.745330849285888,1.0,0.29156744662836587,0.056671680927419615,0.9090341237927576,1.0
77,1.0,1.0,1.0,1.0,0.7303123800527667,1.0,0.4457589018516177,0.0,0.6170791475551778,0.9871023092692319
78,0.8265106462549978,0.4399889714280303,0.9531255028198659,0.5587752761995688,0.30759571806557423,0.5448140778385571,0.11784132635764052,0.0,0.7206758693422646,1.0
79,1.0,1.0,0.916438537985035,0.9131488109442479,0.588326807679618,1.0,0.7324382830403096,0.0,0.5771798149749352,1.0
80,1.0,1.0,1.0,1.0,0.8242035408502963,1.0,0.7133442181894685,0.0,0.6999876799651612,0.9795649905016811
81,0.8800500391648037,0.6169535478239938,0.9048652086649345,0.5935696445371237,0.23975649569276394,0.9488297144910962,0.19580095863650093,0.003323825849605437,0.6404487005479726,1.0
82,1.0,1.0,1.0,1.0,0.6646745214814761,1.0,0.6362001510248372,0.0,0.5056541383718482,0.9844898019299633
83,0.9897031412501401,0.7521424240816299,1.0,0.999257618125299,0.7760364363191425,1.0,0.7984981911418578,1.0,0.7779620219879316,0.9477514500788066
84,0.9699668531843619,1.0,0.9816221472316079,1.0,0.7557095388892607,1.0,0.24086573385716145,0.32094560433269687,0.45645647812015877,1.0
85,0.8529288921741434,1.0,0.9049258307242855,0.9550839254699564,0.54320421576577,1.0,0.6537013051051863,0.18989741038326757,0.9372850024569722,0.9900220115136306
86,1.0,1.0,0.9091420503457014,0.997227474957489,0.46757531301236505,1.0,0.5235246495408195,0.4240269495379731,0.5338477192844623,0.9345160837856576
87,1.0,0.830472387464665,1.0,0.9497477611525478,0.6434974383341078,1.0,0.9963065467220065,1.0,0.668413059044832,0.5675122152012371
88,1.0,1.0,0.9737067011762541,1.0,0.5209622210684145,1.0,0.684533839325222,0.0,0.6981788168533036,0.9969953346804771
89,1.0,0.904633815566762,0.8665175409974246,0.96670989400928,0.42108617452056585,0.9966978704882605,0.45241880602726176,0.5625752719106679,0.7000219303345405,1.0
90,1.0,1.0,0.9708429614101679,1.0,0.7043091971610057,1.0,0.6365439338586238,0.6088470635749823,0.5764255327759513,0.9985628041576238
