index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
425,0.0,AV_2,526,71,71,1.0
426,15.0,AV_2,21,36,18,0.9288296431824525
427,0.0,AV_2,3116,75,75,1.0
428,0.0,AV_2,780,13,13,1.0
429,11.0,AV_2,180,156,26,0.8163780341684245
430,0.0,AV_2,1465,93,93,1.0
431,0.0,AV_2,1679,40,40,1.0
432,0.0,AV_2,1578,139,139,1.0
433,0.0,AV_2,840,50,50,1.0
434,29.0,AV_2,1034,61,14,0.8775383372402862
435,0.0,AV_2,1346,114,114,1.0
436,18.0,AV_2,1016,62,19,0.884220968183993
437,9.0,AV_2,780,8,3,0.97055799383902
438,8.0,AV_2,541,52,5,0.8978672219513911
439,5.0,AV_2,2111,141,0,1.0
440,0.0,AV_2,447,21,21,1.0
441,0.0,AV_2,3116,77,77,1.0
442,0.0,AV_2,1,58,58,1.0
443,0.0,AV_2,1,58,58,1.0
444,11.0,AV_2,438,21,2,0.6634354617161287
445,0.0,AV_2,481,139,139,1.0
446,7.0,AV_2,400,42,8,0.8025853241280354
447,5.0,AV_2,3019,193,18,0.9275504517945856
448,0.0,AV_2,11,37,37,1.0
449,18.0,AV_2,77,13,5,0.8688878944406834
450,4.0,AV_2,14,40,14,0.8561222329003713
451,16.0,AV_2,1108,66,10,0.7474489323173962
452,3.0,AV_2,183,109,0,1.0
453,0.0,AV_2,843,110,110,1.0
454,0.0,AV_2,1902,25,25,1.0
455,8.0,AV_2,447,90,10,0.8108131957853029
456,9.0,AV_2,2123,58,5,0.8248181864826418
457,0.0,AV_2,1375,45,45,1.0
458,21.0,AV_2,354,45,12,0.8325260640494019
459,15.0,AV_2,528,27,4,0.8536541299825063
460,0.0,AV_2,3136,37,37,1.0
461,0.0,AV_2,136,224,224,1.0
462,3.0,AV_2,0,25,10,0.9849196528200979
463,0.0,AV_2,32,94,94,1.0
464,6.0,AV_2,1314,17,4,0.8956851036555316
465,0.0,AV_2,2267,9,9,1.0
466,13.0,AV_2,964,24,8,0.8144060297112954
467,0.0,AV_2,658,28,28,1.0
468,0.0,AV_2,1679,42,42,1.0
469,0.0,AV_2,1744,36,36,1.0
470,0.0,AV_2,1402,79,79,1.0
471,20.0,AV_2,20,26,8,0.7684119936140291
472,9.0,AV_2,780,10,3,0.97055799383902
473,20.0,AV_2,263,66,10,0.9761700611748516
474,0.0,AV_2,13,30,30,1.0
475,0.0,AV_2,663,53,53,1.0
476,0.0,AV_2,3,55,55,1.0
477,22.0,AV_2,175,41,11,0.984935412221793
478,0.0,AV_2,1547,66,66,1.0
479,0.0,AV_2,2305,30,30,1.0
480,0.0,AV_2,121,25,25,1.0
481,1.0,AV_2,471,18,0,1.0
482,3.0,AV_2,1489,15,0,1.0
483,8.0,AV_2,681,7,7,0.968696522721939
484,2.0,AV_2,314,77,9,0.8126503514699575
485,11.0,AV_2,645,23,6,0.9396815820500749
486,6.0,AV_2,1430,69,13,0.8928565677562939
487,0.0,AV_2,2249,60,60,1.0
488,14.0,AV_2,354,121,16,0.8871173757248808
489,0.0,AV_2,1467,63,63,1.0
490,17.0,AV_2,663,35,8,0.9340780795593585
491,0.0,AV_2,511,42,42,1.0
492,14.0,AV_2,405,52,12,0.9539982182605609
493,21.0,AV_2,191,17,6,0.94093099020515
494,18.0,AV_2,1578,34,5,0.9299897174515227
495,12.0,AV_2,2735,64,16,0.8594270200954434
496,0.0,AV_2,1285,46,46,1.0
497,0.0,AV_2,942,29,29,1.0
498,3.0,AV_2,183,105,41,0.9398005061181678
499,10.0,AV_2,231,172,8,0.7406076981414116
500,0.0,AV_2,1231,27,27,1.0
501,0.0,AV_2,512,35,35,1.0
502,8.0,AV_2,1025,99,11,0.9810064797877279
503,0.0,AV_2,488,40,40,1.0
504,0.0,AV_2,3136,37,37,1.0
505,10.0,AV_2,1193,122,12,0.7824906212638916
506,0.0,AV_2,661,60,60,1.0
507,7.0,AV_2,400,42,8,0.8025853241280354
508,15.0,AV_2,400,45,12,0.8336985418866304
509,12.0,AV_2,782,46,17,0.9710621628265382
510,13.0,AV_2,964,24,8,0.8144060297112954
511,18.0,AV_2,1016,54,19,0.880244466948727
512,6.0,AV_2,1891,35,4,0.8665122431525681
513,0.0,AV_2,658,26,26,1.0
514,3.0,AV_2,1417,22,1,0.5867822976425202
515,0.0,AV_2,2,17,17,1.0
516,10.0,AV_2,231,174,8,0.7406076981414116
517,0.0,AV_2,2305,29,29,1.0
518,7.0,AV_2,3099,31,7,0.9593738809341278
519,0.0,AV_2,2,18,18,1.0
520,0.0,AV_2,658,28,28,1.0
521,8.0,AV_2,541,47,4,0.8802714178609442
522,10.0,AV_2,68,61,9,0.9873894552652471
523,0.0,AV_2,934,47,47,1.0
524,0.0,AV_2,16,20,20,1.0
525,9.0,AV_2,534,52,8,0.9081338650515229
526,0.0,AV_2,646,102,102,1.0
527,0.0,AV_2,320,27,27,1.0
528,20.0,AV_2,115,67,12,0.8618809326594061
